Resource Name,Type,Clinical Area,Cost,Access Method,Priority,URL,Status,Notes
AMC Clinical Examination Specifications,Official Document,All,FREE,Direct Download,ESSENTIAL,https://www.amc.org.au/wp-content/uploads/2024/04/2024-04-23-Clinical-Exam-Spec.V0.6-For-Website-update.pdf,Downloaded,701 KB PDF - Complete exam format and specifications
AMC Tips from Examiners,Official Document,All,FREE,Direct Download,ESSENTIAL,https://www.amc.org.au/wp-content/uploads/2024/10/2024-10-03-Tips-From-Examiners.pdf,Downloaded,197 KB PDF - Examiner guidance and common mistakes
AMC Clinical Examination Briefing Video,Official Video,All,FREE,Stream/Download,ESSENTIAL,https://www.amc.org.au/pathways/standard-pathway/amc-assessments/clinical-examination/,Link Available,WEBM format - Exam day walkthrough
AHPRA Good Medical Practice Code,Professional Standard,Ethics/Communication,FREE,Direct Download,ESSENTIAL,https://www.ahpra.gov.au/documents/default.aspx?record=WD20%2f30051&dbid=AP&chksum=9BSTs75R4%2fcPJY7vrmzHPg%3d%3d,Downloaded,173 KB PDF - Professional conduct code
Talley & O'Connor Clinical Examination 9e,Textbook,All Clinical,~$200 AUD,Purchase,ESSENTIAL,https://www.elsevier.com/,To Purchase,2-volume set with OSCE videos and MCQs
Davidson's Principles and Practice of Medicine 24e,Textbook,General Medicine,~$100 AUD,Purchase,ESSENTIAL,Major bookstores,To Purchase,Comprehensive internal medicine reference
AMC Handbook of Clinical Assessment,Official Handbook,All Clinical,~$150 AUD,Purchase,ESSENTIAL,https://www.amcquestionbank.com/shop/amc-handbook-of-clinical-assessment/,To Purchase,Official OSCE scenarios and guidelines
Royal Children's Hospital Paediatric Handbook 10e,Textbook,Paediatrics,~$70 AUD,Purchase,HIGHLY RECOMMENDED,Major bookstores,To Purchase,Australian paediatric guidelines
Roberton & South Practical Paediatrics 7e,Textbook,Paediatrics,~$80 AUD,Purchase,HIGHLY RECOMMENDED,Major bookstores,To Purchase,Common paediatric presentations
Bloch Foundations of Clinical Psychiatry 4e,Textbook,Psychiatry,~$90 AUD,Purchase,HIGHLY RECOMMENDED,Major bookstores,To Purchase,Core psychiatric assessment
